case_id,no_dev_total,no_constr_total,dev_fitness
STNR000001,14,1565,0.9910543130990416
STNR000002,3,1565,0.9980830670926517
STNR000003,14,1565,0.9910543130990416
STNR000004,5,1565,0.9968051118210862
STNR000005,16,1565,0.9897763578274761
STNR000006,12,1565,0.9923322683706071
STNR000007,8,1565,0.994888178913738
STNR000008,4,1565,0.997444089456869
STNR000009,4,1565,0.997444089456869
STNR000010,4,1565,0.997444089456869
STNR000011,13,1565,0.9916932907348243
STNR000012,5,1565,0.9968051118210862
STNR000013,11,1565,0.9929712460063898
STNR000014,7,1565,0.9955271565495207
STNR000015,10,1565,0.9936102236421726
STNR000016,6,1565,0.9961661341853035
STNR000017,8,1565,0.994888178913738
STNR000018,10,1565,0.9936102236421726
STNR000019,8,1565,0.994888178913738
STNR000020,12,1565,0.9923322683706071
STNR000021,11,1565,0.9929712460063898
STNR000022,7,1565,0.9955271565495207
STNR000023,14,1565,0.9910543130990416
STNR000024,6,1565,0.9961661341853035
STNR000025,10,1565,0.9936102236421726
STNR000026,9,1565,0.9942492012779552
STNR000027,4,1565,0.997444089456869
STNR000028,12,1565,0.9923322683706071
STNR000029,9,1565,0.9942492012779552
STNR000030,6,1565,0.9961661341853035
STNR000031,5,1565,0.9968051118210862
STNR000032,10,1565,0.9936102236421726
STNR000033,4,1565,0.997444089456869
STNR000034,11,1565,0.9929712460063898
STNR000035,11,1565,0.9929712460063898
STNR000036,13,1565,0.9916932907348243
STNR000037,4,1565,0.997444089456869
STNR000038,11,1565,0.9929712460063898
STNR000039,8,1565,0.994888178913738
STNR000040,9,1565,0.9942492012779552
STNR000041,10,1565,0.9936102236421726
STNR000042,9,1565,0.9942492012779552
STNR000043,11,1565,0.9929712460063898
STNR000044,4,1565,0.997444089456869
STNR000045,10,1565,0.9936102236421726
STNR000046,8,1565,0.994888178913738
STNR000047,3,1565,0.9980830670926517
STNR000048,15,1565,0.9904153354632588
STNR000049,13,1565,0.9916932907348243
STNR000050,10,1565,0.9936102236421726
STNR000051,7,1565,0.9955271565495207
STNR000052,7,1565,0.9955271565495207
STNR000053,8,1565,0.994888178913738
STNR000054,6,1565,0.9961661341853035
STNR000055,4,1565,0.997444089456869
STNR000057,4,1565,0.997444089456869
STNR000058,5,1565,0.9968051118210862
STNR000059,3,1565,0.9980830670926517
STNR000060,4,1565,0.997444089456869
STNR000061,7,1565,0.9955271565495207
STNR000062,3,1565,0.9980830670926517
STNR000063,7,1565,0.9955271565495207
STNR000064,3,1565,0.9980830670926517
STNR000065,5,1565,0.9968051118210862
STNR000066,6,1565,0.9961661341853035
STNR000067,13,1565,0.9916932907348243
STNR000068,8,1565,0.994888178913738
STNR000069,3,1565,0.9980830670926517
STNR000070,5,1565,0.9968051118210862
STNR000071,12,1565,0.9923322683706071
STNR000072,10,1565,0.9936102236421726
STNR000073,5,1565,0.9968051118210862
STNR000074,14,1565,0.9910543130990416
